headline,topic
"['what', 'does', 'it', 'mean', 'for', 'gcse', 'and', 'a-level', 'students', 'that', 'exams', 'have', 'been', 'cancelled']",['wires']
"['exams', 'will', 'be', 'graded', ""'as"", 'if', 'pupils', 'had', 'sat', 'them', ',', 'say', 'education', 'officials', 'as', 'coronavirus', 'leaves', 'teenagers', 'taking', 'their', 'gcse', 'and', 'a', 'levels', 'in', 'limbo']",['news']
"['how', 'will', 'grades', 'be', 'awarded', 'to', 'gcse', 'and', 'a-level', 'students', 'after', 'exams', 'cancelled']",['wires']
"['gcse', 'and', 'a-level', 'grades', 'to', 'be', 'awarded', 'based', 'on', 'teacher', 'assessments']",['wires']
"['is', 'it', 'fair', 'that', 'dreaded', 'gcse', 'and', 'a-level', 'mocks', 'may', 'be', 'crucial', 'here', ""'s"", 'how', 'children', 'could', 'benefit', 'from', 'the', 'delay', 'in', 'exams', 'writes', 'dr', 'joanna', 'williams']",['debate']
"['a-level', 'and', 'gcse', 'exams', 'will', 'not', 'be', 'held', 'in', 'ni´']",['wires']
"['students', ""'will"", 'be', 'awarded', 'gcse', 'and', 'a-level', 'grades', 'based', 'on', 'combination', 'of', 'predicted', 'grades', 'mock', 'exams', 'coursework', 'and', 'assessment', 'with', 'exam', 'sessions', 'in', 'autumn']",['news']
"['what', 'happens', 'to', 'your', 'children', 'when', 'the', 'schools', 'close', 'boris', 'johnson', 'promises', 'gcse', 'a-level', 'pupils', 'will', 'get', 'their', 'qualifications', 'but', 'how', 'and', 'will', 'there', 'be', 'teaching', 'online']",['news']
"['schools', 'will', 'shut', 'all', 'pupils', 'apart', 'from', 'nhs', 'and', 'key', 'workers', 'children', 'will', 'be', 'sent', 'home', 'from', 'friday', 'and', 'gcses', 'and', 'a', 'levels', 'are', 'cancelled', 'as', 'uk', 'coronavirus', 'deaths', 'jump', '33', 'in', 'a', 'day']",['news']
"['d-day', 'for', 'a', 'total', 'school', 'shutdown', 'pressure', 'grows', 'on', 'education', 'secretary', 'gavin', 'williamson', 'to', 'shut', 'down', 'classrooms', 'for', 'a', 'month', 'and', 'delay', 'a-levels', 'and', 'gcses', 'until', 'september']",['news']
"['coronavirus', 'crisis', 'in', 'the', 'uk', 'could', 'see', 'thousands', 'of', 'prisoners', 'released', 'gcses', 'and', 'a-levels', 'delayed', 'relatives', 'banned', 'from', 'visiting', 'care', 'homes', 'and', 'weekly', 'bin', 'collections', 'cancelled']",['news']
"['coronavirus', 'outbreak', 'could', 'see', 'schools', 'forced', 'to', 'delay', 'gcse', 'and', 'a-level', 'exams', 'councils', 'stop', 'weekly', 'bin', 'collections', 'and', ""'low"", 'risk', 'prisoners', 'released', 'from', 'jail']",['news']
"['one', 'in', 'four', '15-year-olds', 'have', 'a', 'reading', 'age', 'of', '12', 'or', 'below', 'and', 'struggle', 'to', 'understand', 'questions', 'in', 'their', 'gcse', 'exams']",['health']
"['children', 'of', 'immigrants', 'with', 'english', 'as', 'a', 'second', 'language', 'outperform', 'native', 'speakers', 'in', 'gcses', 'new', 'data', 'shows', '...', 'but', 'how', 'well', 'did', 'your', 'local', 'school', 'do']",['news']
"['girls', 'have', 'outperformed', 'boys', 'at', 'gcse', 'for', 'three', 'decades', 'and', 'poorer', 'pupils', 'have', 'fallen', 'even', 'further', 'behind', 'richer', 'peers', 'use', 'our', 'module', 'to', 'see', 'how', 'well', 'your', 'local', 'schools', 'did', 'in', '2019', 'results']",['news']
"['gcse', 'gap', 'between', 'rich', 'and', 'poor', 'students', 'widens']",['wires']
"['gcse', 'science', 'curriculum', 'features', 'no', 'lessons', 'about', 'trailblazing', 'women', 'in', 'its', 'guidelines', 'research', 'shows']",['news']
"['teacher', 'dubbed', ""'the"", 'maths', 'whisperer', 'leads', 'entire', 'class', 'of', '30', 'state', 'school', 'pupils', 'to', 'a', 'grades', 'at', 'gcse', 'six', 'months', 'early']",['news']
"['how', 'helping', 'with', 'my', 'daughter', ""'s"", 'homework', 'saved', 'my', 'life', 'father', '43', 'notices', 'a', 'grape-sized', 'cancerous', 'lump', 'on', 'his', 'neck', 'while', 'reading', 'a', 'gcse', 'biology', 'textbook']",['health']
"['loose', 'women', ""'s"", 'jane', 'moore', 'claims', 'students', 'are', 'following', 'an', 'outdated', 'curriculum', 'after', 'her', 'daughter', 'was', 'made', 'to', 'give', 'up', 'spanish', 'for', 'a', 'compulsory', 'science', 'gcse']",['femail']
"['number', 'of', 'students', 'taking', 'english', 'a-levels', 'has', 'slumped', 'because', 'they', 'are', 'put', 'off', 'by', 'a', ""'dull"", 'gcse', 'course', 'teachers', 'warn']",['news']
"['brain', 'food', 'school', 'children', 'who', 'skip', 'breakfast', 'are', 'less', 'likely', 'to', 'achieve', 'good', 'grades', 'at', 'gcse', 'study', 'claims']",['sciencetech']
"['the', 'gcse', 'language', 'loophole', 'hundreds', 'of', 'british', 'pupils', 'took', 'english', 'exam', 'meant', 'for', 'foreign', 'students']",['news']
"['schoolgirl', '16', 'who', 'was', 'stressed', 'over', 'her', 'weight', 'and', 'gcses', 'was', 'killed', 'by', 'a', 'train', 'as', 'she', 'tried', 'to', 'scramble', 'back', 'on', 'to', 'the', 'platform', 'after', 'changing', 'her', 'mind', 'about', 'killing', 'herself', 'inquest', 'hears']",['news']
"['mrs', 'hinch', 'fan', 'receives', 'epic', '17th', 'birthday', 'cake', 'complete', 'with', 'gloves', 'and', 'zoflora', 'after', 'the', 'cleaning', 'sensation', ""'s"", 'videos', ""'helped"", 'her', 'through', 'gcse', 'stress']",['femail']
"[""'perfectionist"", 'schoolgirl', '17', 'who', 'had', 'history', 'of', 'mental', 'health', 'issues', 'hanged', 'herself', 'after', 'going', 'from', 'excelling', 'in', 'her', 'gcses', 'to', 'struggling', 'with', 'a-levels']",['news']
"['thug', '18', 'caught', 'on', 'cctv', 'kicking', 'and', 'stamping', 'on', 'unconscious', 'man', ""'s"", 'head', 'avoids', 'jail', 'because', 'he', 'has', 'signed', 'up', 'to', 'take', 'gcses']",['news']
"['revealed', 'england', ""'s"", 'best', 'and', 'worst', 'performing', 'schools', 'for', 'gcse', 'results', 'use', 'our', 'interactive', 'module', 'to', 'see', 'how', 'yours', 'compares']",['news']
"['mother', 'who', 'was', 'raised', 'by', 'her', 'alcoholic', 'father', 'and', 'left', 'school', 'with', 'two', 'gcses', 'now', 'boasts', 'a', '£1million', 'business', 'after', 'inventing', 'the', 'world', ""'s"", 'first', 'leak-proof', 'potty']",['femail']
"['more', 'than', 'half', 'of', 'pupils', 'fail', 'to', 'gain', 'strong', 'pass', 'in', 'english', 'and', 'maths', 'gcses']",['wires']
"['mother', 'reveals', 'she', 'let', 'her', 'teenage', 'daughter', 'smoke', 'cannabis', 'before', 'sitting', 'her', 'gcse', 'english', 'exam', '...', 'to', 'help', 'her', 'relax']",['news']
"['entrepreneur', 'who', 'left', 'school', 'at', '15', 'with', 'no', 'gcse', ""'s"", 'now', 'runs', 'a', '£30m', 'fashion', 'business', 'loved', 'by', 'celebrities', 'where', 'collections', 'make', 'as', 'much', 'as', '£65,000', 'in', 'an', 'hour']",['femail']
"['jade', 'goody', ""'s"", 'son', 'bobby', 'brazier', '16', 'looks', 'the', 'spitting', 'image', 'of', 'his', 'late', 'mum', 'as', 'he', 'shares', 'rare', 'family', 'snap', 'after', 'receiving', 'his', 'gcse', 'results']",['tvshowbiz']
